_NATIVE 日本語
MENU_WORKSHOP_PUBLISH_ERROR 何かのエラーが発生しました.\nもう一度やってみてください。\n([0])
MENU_WORKSHOP_PUBLISH_WRONG_FORMAT 公開を中止しました。\n一部のファイルが許可されていません。\n許可されるファイル形式はテキスト、画像、音、pdf、xmlファイルです。
MENU_WORKSHOP_SUBSCRIBED_DETAILS 開発者: [0]\n最終更新日: [1]
GAME_PRESET_LIST 保存されたプリセット
GAME_PRESET_CREATE プリセットを作る
GAME_PRESET_START 文明を始める
GAME_PRESET_START_LOCATION この場所で文明を始める
GAME_PRESET_SAVE プリセットを保存する
GAME_PRESET_SAVE_DESCRIPTION メモ
GAME_PRESET_SAVE_NAME 名前を入力
GAME_PAUSE 一時停止
GAME_PAUSE_RESUME 再開
GAME_PAUSE_SAVE 保存
GAME_PAUSE_QUIT やめる
GAME_PAUSE_SAVE_NAME 保存する名前
GAME_PAUSE_SAVE_BACK 戻る
GAME_PAUSE_SAVE_OVERRIDE このセーブファイルに上書きして良いですか？
GAME_YES はい
GAME_NO いいえ
GAME_SUMMARY_NODES ステータスとレバー
GAME_SUMMARY_EVENTS イベント
GAME_SUMMARY_TOGGLE トグルパネル
GAME_SUMMARY_MAIN_MENU メインメニューに戻る
GAME_SUMMARY_LOAD 最後のセーブデータをロード
GAME_SUMMARY_NODE 検索・・・
GAME_SUMMARY_EVENT イベント
GAME_SUMMARY_CULTURAL 文化
GAME_SUMMARY_TECHNOLOGICAL テクノロジー
GAME_SUMMARY_STATE 状態
GAME_SUMMARY_ALL 全て
GAME_SUMMARY_CLEAR クリア
GAME_SUMMARY_TIME 時間:
GAME_SUMMARY_VALUE 価値:
GAME_FIND_NODE ノードを検索・・・
GAME_WATCHER_EMPTY 監視項目には何もありません。
GAME_WATCHER_TOOLTIP 監視リスト
GAME_UNLOCK_NODE_UNAVALIBLE 条件が満たされていないためこのノードはまだ使用できません:
GAME_UNLOCK_LEVER_UNAVALIBLE 条件が満たされていないためこのノードはまだ使用できません:
GAME_UNLOCK_LEVER_BANNED このレバーは現在使用できません。
GAME_UNLOCK_FREE 開放
GAME_UNLOCK_CONDITION_OR もしくは
GAME_UNLOCK_CONDITION_VALUE [0]は[2][1]
GAME_UNLOCK_CONDITION_ERA 今の時代は<color=#bbbbbb> [0]</color> [1]　
GAME_UNLOCK_CONDITION_OPERATOR_AFTER 時代以後　　　　
GAME_UNLOCK_CONDITION_OPERATOR_MORE_THAN を超えること
GAME_UNLOCK_CONDITION_OPERATOR_BEFORE 時代前　　　　　
GAME_UNLOCK_CONDITION_OPERATOR_LESS_THAN 以下
GAME_UNLOCK_CONDITION_OPERATOR_AT_LEAST 以上
GAME_UNLOCK_CONDITION_OPERATOR_NOT_AFTER 後ではない　　　　　
GAME_UNLOCK_CONDITION_OPERATOR_NOT_ABOVE 未満　　　　
GAME_UNLOCK_CONDITION_OPERATOR_EQUAL_TO に等しいこと
GAME_UNLOCK_CONDITION_PRESENT_MULTI <color=#bbbbbb>これらのノードの１つは</color>与えます:
GAME_UNLOCK_CONDITION_PRESENT <color=#bbbbbb>を</color>採用する
GAME_UNLOCK_CONDITION_ABSENT <color=#bbbbbb>は</color> 必要ない
GAME_MUSIC 音楽
GAME_MUSIC_RANDOM ランダム
GAME_MUSIC_LOOP ループ
GAME_STORIES ストーリー
GAME_INCOMES 収入:
GAME_EXPENSES 支出:
GAME_INVEST_CURRENT 現在いくつかのレバーによって予約されています。
GAME_INVEST_STOP クリックすると予約をすべてキャンセルします。
GAME_INVEST_STOP_WINDOW 予約取消
GAME_INVEST_STOP_WINDOW_TEXT 全ての予約を停止してよろしいですか?
GAME_INVEST_AUTO_CURRENT　一部のレバーは現在自動投資中です
GAME_INVEST_AUTO_STOP クリックして全ての自動投資を停止します
GAME_INVEST_AUTO_STOP_WINDOW 自動投資を停止
GAME_INVEST_AUTO_STOP_WINDOW_TEXT 現在の自動投資を全て停止しますか？
GAME_MOD_MISMATCH_WINDOW 検出された変更
GAME_MOD_MISMATCH_WINDOW_TEXT_1 最後に保存されてからMODに変更が行われました:
GAME_MOD_MISMATCH_WINDOW_TEXT_2 ゲームが不安定になる可能性があります。
GAME_VALUE_LIMIT_MIN [0]<color=#bbbbbb> は </color>[1]<color=#bbbbbb>の最低値を</color><b>[2]%</b>制限する。
GAME_VALUE_LIMIT_MAX [0]<color=#bbbbbb> は </color>[1]<color=#bbbbbb>の最大値を</color><b>[2]%</b>制限する。
GAME_CANNOT_MODIFY_LEVER 現在このレバーを変更することはできません。
GAME_INVEST_COST コスト: 
GAME_INVEST_REFOUND 再投資:
GAME_INVEST 十分なリソースがありません。\n収入: 
GAME_INVEST_SET [0]を<b>[1]</b>に設定します。　　
GAME_INVEST_AUTO 投資は自動的に行われます。\nスライダーを動かすと無効にできます
GAME_INVEST_AUTO_MIN 自動的に最小限に投資します
GAME_INVEST_AUTO_MAX 自動的に最大限に投資します
GAME_REMOVE_ALERT_ONE_LABEL [0] は削除されました。
GAME_REMOVE_ALERT_ONE_DESCRIPTION ノード[0]は[1]によって削除されました。
GAME_REMOVE_ALERT_SELF_LABEL [0]はあなたの文明を去りました。
GAME_REMOVE_ALERT_SELF_DESCRIPTION ノード[0]はあなたの文明を去りました。
GAME_REMOVE_ALERT_MULTIPLE_LABEL [0]と[1]は削除されました。
GAME_REMOVE_ALERT_MULTIPLE_DESCRIPTION ノード[0]は以下のノードにより削除されました。: [1]
GAME_AUTOSAVE オートセーブ中...
GAME_NODE_RELATIONS 関連ノード
GAME_NODE_LOCK ノードが自動移動を禁止
GAME_NODE_WATCH 監視リストに追加
GAME_NODE_APPLY 適用
GAME_NODE_REMOVE 削除する
GAME_NODE_STATS 状態
GAME_NODE_INCOMING_CALL 入力先
GAME_NODE_OUTGOING_CALL 出力先
PRIVACY_TOOLTIP データプライバシー
PRIVACY_HEADER データプライバシーについて
PRIVACY_INFO このゲームの開発者はこのプログラムを通じて<b>個人情報を収集しません</b>。ただしUnityが蒐集する可能性のある情報については引き続き通知する必要があります。
PRIVACY_BUTTON Unityのプライバシーポリシーページを開く
GAME_UNLOCK_IGNORE 無視する
GAME_UNLOCK_IGNORE_CANCEL クリックすると無視された全てのレバーを再表示されます。
MENU_OPTIONS_UI_CONTROLS インターフェイスコントロール: 
GAME_UNLOCK_IGNORE_INFO 無視するにはリスト内のノードを右クリックしてください。
MENU_OPTIONS_UI_CONTROLS_TOOLTIP マウススクロールホイールを使用する代わりに、ズームを変更し、グループを作成するためのゲームインターフェイス上のコントロールを表示します。
MENU_OPTIONS_AUDIO オーディオ設定
GAME_NODE_RELATIONSHIP_AFFECT 影響を受けるノード
GAME_NODE_RELATIONSHIP_UNLOCK 開放されたノード
GAME_NODE_RELATIONSHIP_FORBIDDEN 禁止されているノード
GAME_NODE_NEW_STATE <color=#bbbbbb>状態 </color> [0] <color=#bbbbbb> が登場.</color>
GAME_NODE_NEW_EVENT <color=#bbbbbb>イベント </color> [0] <color=#bbbbbb> が登場.</color>
GAME_GROUP_NAME 名前...
GAME_GROUP_OK OK
GAME_GROUP_REMOVE 削除
GAME_CHALLENGE チャレンジ
GAME_CHALLENGE_DEFAULT 最初から始める
GAME_CHALLENGE_COMPLETED 達成
GAME_CHALLENGE_COMPLETED_HEADER チャレンジを達成した！
GAME_CHALLENGE_EASY 易しい
GAME_CHALLENGE_AVERAGE 普通
GAME_CHALLENGE_HARD 難しい
GAME_CHALLENGE_VERY_HARD ベリー難しい
GAME_CHALLENGE_OBJECTIVES 目的
